date,ticker,signal_z,coverage_window,signal_observations,coverage_21d,signal_lookback
2020-01-03,ABBV,0.0,0.0,0,0.0,21
2020-01-03,ABT,0.0,0.0,0,0.0,21
2020-01-03,ADBE,0.0,0.0,0,0.0,21
2020-01-03,AEP,0.0,0.0,0,0.0,21
2020-01-03,AMD,0.0,0.0,0,0.0,21
2020-01-03,AMGN,0.0,0.0,0,0.0,21
2020-01-03,AMT,0.0,0.0,0,0.0,21
2020-01-03,BA,0.0,0.0,0,0.0,21
2020-01-03,CAT,0.0,0.0,0,0.0,21
2020-01-03,CCI,0.0,0.0,0,0.0,21
2020-01-03,CMCSA,0.0,0.0,0,0.0,21
2020-01-03,COP,0.0,0.0,0,0.0,21
2020-01-03,CVX,0.0,0.0,0,0.0,21
2020-01-03,D,0.0,0.0,0,0.0,21
2020-01-03,DD,0.0,0.0,0,0.0,21
2020-01-03,DIS,0.0,0.0,0,0.0,21
2020-01-03,DOW,0.0,0.0,0,0.0,21
2020-01-03,DUK,0.0,0.0,0,0.0,21
2020-01-03,EA,0.0,0.0,0,0.0,21
2020-01-03,GE,0.0,0.0,0,0.0,21
2020-01-03,GILD,0.0,0.0,0,0.0,21
2020-01-03,GS,0.0,0.0,0,0.0,21
2020-01-03,INTC,0.0,0.0,0,0.0,21
2020-01-03,KO,0.0,0.0,0,0.0,21
2020-01-03,MMM,0.0,0.0,0,0.0,21
2020-01-03,MRK,0.0,0.0,0,0.0,21
2020-01-03,MS,0.0,0.0,0,0.0,21
2020-01-03,NEE,0.0,0.0,0,0.0,21
2020-01-03,NEM,0.0,0.0,0,0.0,21
2020-01-03,NKE,0.0,0.0,0,0.0,21
2020-01-03,NUE,0.0,0.0,0,0.0,21
2020-01-03,NVDA,0.0,0.0,0,0.0,21
2020-01-03,O,0.0,0.0,0,0.0,21
2020-01-03,OXY,0.0,0.0,0,0.0,21
2020-01-03,PLD,0.0,0.0,0,0.0,21
2020-01-03,PSA,0.0,0.0,0,0.0,21
2020-01-03,QCOM,0.0,0.0,0,0.0,21
2020-01-03,SBUX,0.0,0.0,0,0.0,21
2020-01-03,SHW,0.0,0.0,0,0.0,21
2020-01-03,SLB,0.0,0.0,0,0.0,21
2020-01-03,SO,0.0,0.0,0,0.0,21
2020-01-03,T,0.0,0.0,0,0.0,21
2020-01-03,TMUS,0.0,0.0,0,0.0,21
2020-01-03,TTWO,0.0,0.0,0,0.0,21
2020-01-03,UPS,0.0,0.0,0,0.0,21
2020-01-03,USB,0.0,0.0,0,0.0,21
2020-01-03,V,0.0,0.0,0,0.0,21
2020-01-03,WFC,0.0,0.0,0,0.0,21
2020-01-03,WMT,0.0,0.0,0,0.0,21
2020-01-03,XOM,0.0,0.0,0,0.0,21
2020-01-06,ABBV,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,ABT,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,ADBE,0.0,0.0,0,0.0,21
2020-01-06,AEP,0.0,0.0,0,0.0,21
2020-01-06,AMD,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,AMGN,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,AMT,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,BA,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,CAT,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,CCI,0.0,0.047619047619047616,1,0.047619047619047616,21
2020-01-06,CMCSA,0.0,0.047619047619047616,1,0.047619047619047616,21
