date,sector,sentiment,baseline_sentiment,ticker_count,headline_count,changed_headline_share,sector_ticker_count,coverage_rate,sentiment_neutral_fill,sentiment_carry_3d,sentiment_21d
2020-01-03,Comm,0.08685714285714285,0.08685714285714285,5,14,0.0,5,1.0,0.08685714285714285,0.08685714285714285,
2020-01-03,Consumer,-0.10177612987012985,-0.1025132727272727,5,32,0.02857142857142857,5,1.0,-0.10177612987012985,-0.10177612987012985,
2020-01-03,Energy,0.056237614035087716,0.055450035087719285,5,49,0.030526315789473686,5,1.0,0.056237614035087716,0.056237614035087716,
2020-01-03,Financials,0.07089238095238096,0.09007809523809525,5,20,0.02857142857142857,5,1.0,0.07089238095238096,0.07089238095238096,
2020-01-03,Healthcare,0.2222282142857143,0.22046571428571432,5,29,0.075,5,1.0,0.2222282142857143,0.2222282142857143,
2020-01-03,Industrials,-0.01702333333333333,-0.01702333333333333,5,20,0.0,5,1.0,-0.01702333333333333,-0.01702333333333333,
2020-01-03,Materials,0.13148125,0.13148125,4,10,0.0,5,0.8,0.105185,0.13148125,
2020-01-03,RealEstate,-0.027414999999999995,-0.027414999999999995,4,8,0.0,5,0.8,-0.021931999999999997,-0.027414999999999995,
2020-01-03,Tech,0.08076517857142856,0.08076517857142856,4,42,0.0,5,0.8,0.06461214285714285,0.08076517857142856,
2020-01-03,Utilities,0.2159625,0.18525,2,5,0.125,5,0.4,0.086385,0.2159625,
2020-01-06,Comm,0.1738097222222222,0.1738097222222222,3,16,0.0,5,0.6,0.10428583333333333,0.1738097222222222,
2020-01-06,Consumer,0.10678931372549019,0.10678931372549019,5,44,0.0,5,1.0,0.10678931372549019,0.10678931372549019,
2020-01-06,Energy,0.08543969696969697,0.08543969696969697,5,34,0.0,5,1.0,0.08543969696969697,0.08543969696969697,
2020-01-06,Financials,0.27878600000000003,0.284306,5,12,0.3,5,1.0,0.27878600000000003,0.27878600000000003,
2020-01-06,Healthcare,0.32718,0.32718,5,12,0.0,5,1.0,0.32718,0.32718,
2020-01-06,Industrials,0.0735287037037037,0.0735287037037037,3,14,0.0,5,0.6,0.04411722222222222,0.0735287037037037,
2020-01-06,Materials,-0.069765,-0.069765,4,9,0.0,5,0.8,-0.055812,-0.069765,
2020-01-06,RealEstate,0.148,0.148,3,4,0.0,5,0.6,0.08879999999999999,0.148,
2020-01-06,Tech,-0.013116666666666665,-0.013116666666666665,5,13,0.0,5,1.0,-0.013116666666666665,-0.013116666666666665,
2020-01-06,Utilities,0.011312500000000003,0.011312500000000003,4,6,0.0,5,0.8,0.009050000000000002,0.011312500000000003,
2020-01-07,Comm,0.29263333333333336,0.29263333333333336,3,5,0.0,5,0.6,0.17558,0.29263333333333336,
2020-01-07,Consumer,0.1472385,0.1472385,5,22,0.0,5,1.0,0.1472385,0.1472385,
2020-01-07,Energy,0.07934999999999999,0.07934999999999999,3,12,0.0,5,0.6,0.04760999999999999,0.07934999999999999,
2020-01-07,Financials,0.140525,0.140525,4,11,0.0,5,0.8,0.11242000000000002,0.140525,
2020-01-07,Healthcare,0.14201066666666667,0.14201066666666667,5,15,0.0,5,1.0,0.14201066666666667,0.14201066666666667,
2020-01-07,Industrials,0.030057142857142855,0.030057142857142855,4,13,0.0,5,0.8,0.024045714285714285,0.030057142857142855,
2020-01-07,Materials,0.12726666666666667,0.12726666666666667,3,3,0.0,5,0.6,0.07636,0.12726666666666667,
2020-01-07,RealEstate,0.29295,0.0,2,2,0.5,5,0.4,0.11718,0.29295,
2020-01-07,Tech,0.00910267857142857,0.00910267857142857,4,21,0.0,5,0.8,0.007282142857142857,0.00910267857142857,
2020-01-07,Utilities,0.6369,0.6369,1,1,0.0,5,0.2,0.12738000000000002,0.6369,
2020-01-08,Comm,0.1962025,0.1929775,4,20,0.125,5,0.8,0.15696200000000002,0.1962025,
2020-01-08,Consumer,0.0717625,0.0717625,4,16,0.0,5,0.8,0.05741000000000001,0.0717625,
2020-01-08,Energy,-0.019254999999999987,-0.018874999999999986,5,17,0.21666666666666665,5,1.0,-0.019254999999999987,-0.019254999999999987,
2020-01-08,Financials,0.4676833333333333,0.4676833333333333,3,4,0.0,5,0.6,0.28060999999999997,0.4676833333333333,
2020-01-08,Healthcare,0.25715185185185185,0.25715185185185185,3,13,0.0,5,0.6,0.1542911111111111,0.25715185185185185,
2020-01-08,Industrials,0.02034285714285714,0.02034285714285714,3,12,0.0,5,0.6,0.012205714285714285,0.02034285714285714,
2020-01-08,Materials,-0.10309999999999998,-0.09959999999999998,2,6,0.25,5,0.4,-0.04124,-0.10309999999999998,
2020-01-08,RealEstate,-0.09434999999999999,-0.10079999999999999,2,3,0.25,5,0.4,-0.037739999999999996,-0.09434999999999999,
2020-01-08,Tech,0.089318125,0.087443125,4,22,0.08125,5,0.8,0.0714545,0.089318125,
2020-01-08,Utilities,0.27973333333333333,0.27973333333333333,3,3,0.0,5,0.6,0.16784,0.27973333333333333,
2020-01-09,Comm,0.16018,0.16018,5,6,0.0,5,1.0,0.16018,0.16018,0.1819365396825397
2020-01-09,Consumer,0.32033626984126984,0.2834562698412698,5,25,0.1,5,1.0,0.32033626984126984,0.32033626984126984,0.10887009073932603
2020-01-09,Energy,0.10351000000000002,0.10351000000000002,4,10,0.0,5,0.8,0.08280800000000002,0.10351000000000002,0.06105646220095694
2020-01-09,Financials,0.2881973333333333,0.26152933333333334,5,11,0.04,5,1.0,0.2881973333333333,0.2881973333333333,0.2492168095238095
2020-01-09,Healthcare,0.3543444444444444,0.15904444444444446,3,8,0.3333333333333333,5,0.6,0.21260666666666664,0.3543444444444444,0.26058303544973543
2020-01-09,Industrials,0.033716666666666666,0.033716666666666666,5,9,0.0,5,1.0,0.033716666666666666,0.033716666666666666,0.028124407407407404
2020-01-09,Materials,0.04242222222222222,0.04242222222222222,3,6,0.0,5,0.6,0.02545333333333333,0.04242222222222222,0.02566102777777778
2020-01-09,RealEstate,0.0,0.0,1,1,0.0,5,0.2,0.0,0.0,0.063837
2020-01-09,Tech,0.11497933333333332,0.09154333333333334,5,17,0.04,5,1.0,0.11497933333333332,0.11497933333333332,0.05620972976190476
2020-01-09,Utilities,0.074,0.074,4,5,0.0,5,0.8,0.0592,0.074,0.24358166666666667
2020-01-10,Comm,0.03584583333333334,0.03584583333333334,4,8,0.0,5,0.8,0.028676666666666673,0.03584583333333334,0.15758808862433862
2020-01-10,Consumer,0.004144000000000004,0.004144000000000004,5,15,0.0,5,1.0,0.004144000000000004,0.004144000000000004,0.0914157422827717
2020-01-10,Energy,0.07396200000000001,0.07396200000000001,5,15,0.0,5,1.0,0.07396200000000001,0.07396200000000001,0.06320738516746412
2020-01-10,Financials,0.21935833333333332,0.21935833333333332,3,7,0.0,5,0.6,0.13161499999999998,0.21935833333333332,0.2442403968253968
2020-01-10,Healthcare,0.24778000000000003,0.24778000000000003,5,12,0.0,5,1.0,0.24778000000000003,0.24778000000000003,0.25844919620811285
2020-01-10,Industrials,0.09254999999999998,0.09254999999999998,3,8,0.0,5,0.6,0.05552999999999999,0.09254999999999998,0.0388620061728395
2020-01-10,Materials,-0.10715,-0.10715,4,4,0.0,5,0.8,-0.08572,-0.10715,0.0035258564814814853
2020-01-10,RealEstate,-0.08412,-0.08412,5,6,0.0,5,1.0,-0.08412,-0.08412,0.0391775
2020-01-10,Tech,0.30686583333333334,0.30686583333333334,4,21,0.0,5,0.8,0.2454926666666667,0.30686583333333334,0.09798574702380952
2020-01-10,Utilities,0.15612083333333332,0.15612083333333332,4,7,0.0,5,0.8,0.12489666666666666,0.15612083333333332,0.2290048611111111
2020-01-13,Comm,0.0015479166666666697,0.0015479166666666697,2,14,0.0,5,0.4,0.0006191666666666679,0.0015479166666666697,0.13529663548752835
2020-01-13,Consumer,0.08908528571428571,0.08908528571428571,5,29,0.0,5,1.0,0.08908528571428571,0.08908528571428571,0.09108281991584512
2020-01-13,Energy,0.13547150000000002,0.13454349999999998,5,19,0.04,5,1.0,0.13547150000000002,0.13547150000000002,0.07353083014354067
2020-01-13,Financials,0.19619,0.19619,5,33,0.0,5,1.0,0.19619,0.19619,0.2373760544217687
2020-01-13,Healthcare,0.16570250000000003,0.16570250000000003,5,24,0.0,5,1.0,0.16570250000000003,0.16570250000000003,0.24519966817838248
2020-01-13,Industrials,0.07404583333333334,0.07404583333333334,4,10,0.0,5,0.8,0.059236666666666674,0.07404583333333334,0.043888267195767196
2020-01-13,Materials,0.32985,0.32985,2,4,0.0,5,0.4,0.13194,0.32985,0.05014359126984127
2020-01-13,RealEstate,0.2394666666666667,0.2394666666666667,1,3,0.0,5,0.2,0.04789333333333334,0.2394666666666667,0.0677902380952381
2020-01-13,Tech,0.21194641666666664,0.20091574999999998,5,39,0.08666666666666667,5,1.0,0.21194641666666664,0.21194641666666664,0.11426584268707482
2020-01-13,Utilities,0.006599999999999999,0.006599999999999999,4,6,0.0,5,0.8,0.00528,0.006599999999999999,0.1972327380952381
2020-01-14,Comm,0.0863,0.0863,2,4,0.0,5,0.4,0.03452,0.0863,0.1291720560515873
2020-01-14,Consumer,0.042910000000000004,0.042910000000000004,5,19,0.0,5,1.0,0.042910000000000004,0.042910000000000004,0.08506121742636448
2020-01-14,Energy,0.19428833333333334,0.2138183333333333,5,23,0.03333333333333333,5,1.0,0.19428833333333334,0.19428833333333334,0.08862551804226476
2020-01-14,Financials,0.051520714285714295,0.035565476190476196,5,38,0.04285714285714286,5,1.0,0.051520714285714295,0.051520714285714295,0.2141441369047619
2020-01-14,Healthcare,0.32362499999999994,0.32362499999999994,4,9,0.0,5,0.8,0.25889999999999996,0.32362499999999994,0.25500283465608464
2020-01-14,Industrials,0.14943833333333334,0.14943833333333334,3,10,0.0,5,0.6,0.089663,0.14943833333333334,0.05708202546296296
2020-01-14,Materials,0.20165,0.041999999999999996,2,4,0.25,5,0.4,0.08066000000000001,0.20165,0.06908189236111112
2020-01-14,RealEstate,0.148,0.148,1,2,0.0,5,0.2,0.0296,0.148,0.07781645833333334
2020-01-14,Tech,0.22985333333333333,0.22985333333333333,3,12,0.0,5,0.6,0.13791199999999998,0.22985333333333333,0.12871427901785715
2020-01-14,Utilities,0.2927166666666667,0.2927166666666667,3,5,0.0,5,0.6,0.17563,0.2927166666666667,0.20916822916666666
2020-01-15,Comm,0.0006972222222222194,0.0006972222222222194,3,9,0.0,5,0.6,0.00041833333333333165,0.0006972222222222194,0.11489707451499119
2020-01-15,Consumer,0.11965214285714285,0.11932547619047619,4,27,0.016666666666666666,5,0.8,0.09572171428571428,0.11965214285714285,0.08890465358533986
2020-01-15,Energy,0.14588666666666666,0.08600666666666665,5,13,0.15,5,1.0,0.14588666666666666,0.14588666666666666,0.09498786788942054
2020-01-15,Financials,0.06300596825396826,0.06089596825396826,5,36,0.06666666666666667,5,1.0,0.06300596825396826,0.06300596825396826,0.1973510070546737
2020-01-15,Healthcare,0.28567499999999996,0.28567499999999996,3,12,0.0,5,0.6,0.17140499999999997,0.28567499999999996,0.2584108530276308
2020-01-15,Industrials,-0.09173124999999997,-0.09173124999999997,4,10,0.0,5,0.8,-0.07338499999999998,-0.09173124999999997,0.0405472170781893
2020-01-15,Materials,0.17298333333333335,0.17298333333333335,2,4,0.0,5,0.4,0.06919333333333334,0.17298333333333335,0.08062649691358025
2020-01-15,RealEstate,0.0252875,0.0252875,2,7,0.0,5,0.4,0.010115,0.0252875,0.07197990740740741
2020-01-15,Tech,0.029612000000000006,0.029612000000000006,5,24,0.0,5,1.0,0.029612000000000006,0.029612000000000006,0.11770291468253968
2020-01-15,Utilities,0.11571250000000001,0.11571250000000001,4,10,0.0,5,0.8,0.09257000000000001,0.11571250000000001,0.19878425925925927
2020-01-16,Comm,0.1423625,0.1423625,4,17,0.0,5,0.8,0.11389,0.1423625,0.11764361706349206
2020-01-16,Consumer,0.22151928571428572,0.22151928571428572,4,19,0.0,5,0.8,0.17721542857142858,0.22151928571428572,0.10216611679823444
2020-01-16,Energy,0.17142380952380953,0.17142380952380953,3,13,0.0,5,0.6,0.10285428571428572,0.17142380952380953,0.10263146205285942
2020-01-16,Financials,0.1387993846153846,0.14342895726495727,5,46,0.05299145299145299,5,1.0,0.1387993846153846,0.1387993846153846,0.1914958448107448
2020-01-16,Healthcare,0.12518125000000002,0.12518125000000002,4,8,0.0,5,0.8,0.10014500000000003,0.12518125000000002,0.24508789272486772
2020-01-16,Industrials,0.2856666666666667,0.2856666666666667,2,4,0.0,5,0.4,0.11426666666666668,0.2856666666666667,0.06505916203703703
2020-01-16,Materials,0.1101,0.1101,4,4,0.0,5,0.8,0.08808,0.1101,0.08357384722222223
2020-01-16,RealEstate,0.24766666666666667,0.24766666666666667,3,3,0.0,5,0.6,0.1486,0.24766666666666667,0.08954858333333333
2020-01-16,Tech,0.20585555555555557,0.22213055555555555,4,19,0.027777777777777776,5,0.8,0.16468444444444447,0.20585555555555557,0.12651817876984126
2020-01-16,Utilities,0.18776875,0.18776875,4,11,0.0,5,0.8,0.15021500000000002,0.18776875,0.19768270833333335
2020-01-17,Comm,0.0634,0.0634,3,8,0.0,5,0.6,0.03804,0.0634,0.11271237914862914
2020-01-17,Consumer,0.07480088888888889,0.07522533333333332,5,23,0.02222222222222222,5,1.0,0.07480088888888889,0.07480088888888889,0.09967836880647575
2020-01-17,Energy,0.1497738888888889,0.14109055555555555,4,31,0.027777777777777776,5,0.8,0.11981911111111113,0.1497738888888889,0.1069171372197712
2020-01-17,Financials,0.11717999999999999,0.11717999999999999,5,17,0.0,5,1.0,0.11717999999999999,0.11717999999999999,0.18473985891885888
2020-01-17,Healthcare,0.20040555555555553,0.20040555555555553,3,11,0.0,5,0.6,0.12024333333333331,0.20040555555555553,0.24102586207311205
2020-01-17,Industrials,0.2668166666666667,0.23608333333333334,4,12,0.08333333333333333,5,0.8,0.21345333333333338,0.2668166666666667,0.08340075336700337
2020-01-17,Materials,0.31393333333333334,0.31393333333333334,3,5,0.0,5,0.6,0.18836,0.31393333333333334,0.1045156186868687
