fund_id,fund_name,method,rebalance_date,equity_capital_weight,crypto_capital_weight,equity_risk_contribution,crypto_risk_contribution,risk_contribution_sum,ex_ante_annualized_volatility,active_holdings,effective_holdings,top_5_weight,hhi,mean_filled_cells
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-01-04,0.8333333333333334,0.16666666666666666,0.7673388315459991,0.23266116845400098,1.0,0.3551291766015064,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-02-01,0.8333333333333334,0.16666666666666666,0.7581737630574412,0.24182623694255906,1.0,0.36055532478788294,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-03-01,0.8333333333333334,0.16666666666666666,0.7504130558200611,0.24958694417993904,1.0,0.3575546486592636,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-04-01,0.8333333333333334,0.16666666666666666,0.6834688781707985,0.3165311218292015,1.0,0.23383147783181976,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-05-03,0.8333333333333334,0.16666666666666666,0.6080026570161448,0.39199734298385525,0.9999999999999999,0.20651582437923657,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-06-01,0.8333333333333334,0.16666666666666666,0.4750642759010787,0.5249357240989213,1.0,0.22349902900223495,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-07-01,0.8333333333333334,0.16666666666666666,0.38867584398232213,0.6113241560176779,1.0,0.21010673461575818,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-08-02,0.8333333333333334,0.16666666666666666,0.38289528026809905,0.617104719731901,1.0,0.21098532241614654,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-09-01,0.8333333333333334,0.16666666666666666,0.37640530417245044,0.6235946958275496,1.0,0.21216365392202227,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-10-01,0.8333333333333334,0.16666666666666666,0.3463590307000813,0.6536409692999188,0.9999999999999999,0.2121546666128601,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-11-01,0.8333333333333334,0.16666666666666666,0.32699210590263966,0.6730078940973604,1.0000000000000002,0.2117500732684036,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2021-12-01,0.8333333333333334,0.16666666666666666,0.3087174377939635,0.6912825622060366,1.0,0.20740765918745957,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-01-03,0.8333333333333334,0.16666666666666666,0.3331925529526292,0.6668074470473708,1.0,0.20886641996311245,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-02-01,0.8333333333333334,0.16666666666666666,0.3390835400486658,0.6609164599513342,0.9999999999999999,0.2030794653452435,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-03-01,0.8333333333333334,0.16666666666666666,0.3499829294861007,0.6500170705138992,1.0,0.20129736975977497,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-04-01,0.8333333333333334,0.16666666666666666,0.36219193458055954,0.6378080654194405,1.0,0.20264900832765986,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-05-02,0.8333333333333334,0.16666666666666666,0.4028785791485425,0.5971214208514575,1.0,0.20631663836319394,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-06-01,0.8333333333333334,0.16666666666666666,0.5143426733603297,0.4856573266396704,1.0,0.19925877507866124,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-07-01,0.8333333333333334,0.16666666666666666,0.557722396382008,0.4422776036179919,1.0,0.21410231534394214,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-08-01,0.8333333333333334,0.16666666666666666,0.5561278106305295,0.44387218936947037,0.9999999999999997,0.21724064419025282,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-09-01,0.8333333333333334,0.16666666666666666,0.5711802165015933,0.42881978349840677,1.0,0.219770780374649,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-10-03,0.8333333333333334,0.16666666666666666,0.6055475543444336,0.39445244565556614,0.9999999999999999,0.22223595408172517,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-11-01,0.8333333333333334,0.16666666666666666,0.6361588156343999,0.3638411843656001,1.0,0.22776788218173674,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2022-12-01,0.8333333333333334,0.16666666666666666,0.633435505176265,0.36656449482373515,1.0,0.24136903546905958,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-01-03,0.8333333333333334,0.16666666666666666,0.6418592652760569,0.3581407347239431,1.0,0.24075734011270764,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-02-01,0.8333333333333334,0.16666666666666666,0.6477851975815709,0.3522148024184291,0.9999999999999999,0.2417259427723662,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-03-01,0.8333333333333334,0.16666666666666666,0.649564049166869,0.35043595083313095,1.0,0.23852839090919714,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-04-03,0.8333333333333334,0.16666666666666666,0.651036919977065,0.34896308002293497,1.0,0.2396470321034533,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-05-01,0.8333333333333334,0.16666666666666666,0.6558308284200679,0.34416917157993204,0.9999999999999999,0.23519280002384563,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-06-01,0.8333333333333334,0.16666666666666666,0.6704969592347453,0.3295030407652547,0.9999999999999999,0.21531355059318316,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-07-03,0.8333333333333334,0.16666666666666666,0.667302974333614,0.33269702566638615,1.0,0.1993633295720624,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-08-01,0.8333333333333334,0.16666666666666666,0.6616651309844037,0.33833486901559634,1.0000000000000002,0.19682926694513364,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-09-01,0.8333333333333334,0.16666666666666666,0.6600971238259107,0.3399028761740894,1.0,0.1929155373558035,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-10-02,0.8333333333333334,0.16666666666666666,0.6547276507464354,0.34527234925356454,1.0,0.18177696910752528,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-11-01,0.8333333333333334,0.16666666666666666,0.6231045700545499,0.37689542994545,1.0,0.17090649144662562,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_equal_weight,Combined Equal Weight,Equal Weight,2023-12-01,0.8333333333333334,0.16666666666666666,0.6506615351177585,0.3493384648822415,0.9999999999999998,0.15015392082234946,60,60.000000000000014,0.08333333333333333,0.016666666666666663,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-01-04,0.766795159556686,0.23320484044329678,0.5697470408916081,0.43025295910839195,1.0000000000000002,0.30295503370373966,11,9.770076236570445,0.5999999999999822,0.10235334666651758,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-02-01,0.7726353477018814,0.22736465229795383,0.5309511674399131,0.46904883256008684,0.9999999999999999,0.31805466418016404,14,10.67272861332719,0.5999999999999187,0.09369675143348868,0
