fund_id,fund_name,family,method,annual_management_fee,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cagr,terminal_wealth
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,0.0,0.16411102567004107,0.21599931105267914,0.7597756903493861,-0.2788777573483472,0.15144776494877776,1.5226659958369386
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,0.005,0.15909526939214785,0.21599501464469298,0.7365691733851175,-0.2820836370208649,0.14567797860198017,1.5000295242823554
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,0.01,0.15405434523686537,0.2159906966783488,0.7132452814219196,-0.28529130719536466,0.13990825560441333,1.4776180748748877
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,0.0,0.12058717914962035,0.1854898703411762,0.6501011560783416,-0.20110958855827132,0.10915856660420209,1.3619217748129504
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,0.005,0.115572288597644,0.185486180791629,0.6230776228417539,-0.20187198104086512,0.10360068708171344,1.3416749816229812
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,0.01,0.11053223451228766,0.18548247272879584,0.5959174087241275,-0.20263748123981706,0.09804286858182532,1.321629455528215
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,0.0,0.06488732661127952,0.12537598634169228,0.5175419033947972,-0.157061561468407,0.058815269091177846,1.185778077571312
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,0.005,0.05987354397622296,0.1253734925078631,0.47756142688988146,-0.1589540958702479,0.053509654655725214,1.1681498966068893
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,0.01,0.05483460336705057,0.12537098616056616,0.43737873527470184,-0.16085188329538402,0.048204098473137336,1.1506969519252355
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,0.0,0.14366080442172846,0.16204417801260154,0.8865533225794544,-0.19484570656137956,0.13972594397324234,1.4769135693155235
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,0.005,0.13864545491593744,0.16204095481759628,0.8556198343314236,-0.19689306461037026,0.1340148944659989,1.454957268924111
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,0.01,0.13360493957384328,0.16203771544936169,0.8245298892503584,-0.1989454914131248,0.12830390766308253,1.4332192293090968
