sector,mean_ticker_coverage,no_news_day_share,mean_daily_sentiment,sentiment_volatility,total_headlines
Consumer,0.9393034825870646,0.007960199004975124,0.1040482550396979,0.08070830044708838,25877
Financials,0.875223880597015,0.007960199004975124,0.10210363179141843,0.11087361258151592,18269
Tech,0.8646766169154229,0.0,0.12277426274973612,0.10717760093680109,26632
Energy,0.8439800995024876,0.009950248756218905,0.11367095371288684,0.11952142343929224,19365
Healthcare,0.8362189054726368,0.008955223880597015,0.11734062032178418,0.12215233704487302,14697
Comm,0.7572139303482587,0.008955223880597015,0.10559057037340655,0.12162563185202462,11783
Industrials,0.7518407960199005,0.007960199004975124,0.10934276647516086,0.11047375774142942,13156
Utilities,0.5932338308457712,0.04378109452736319,0.1910054414789003,0.1610794448929853,6319
RealEstate,0.5562189054726369,0.06567164179104477,0.1394576169286281,0.15945477672379663,5339
Materials,0.531542288557214,0.06567164179104477,0.10482227797255644,0.14539146871028935,5393
