fund_id,fund_name,family,method,transaction_cost_bps,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cagr,terminal_wealth
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,0.0,0.1643369301144307,0.2160038524438884,0.760805551637653,-0.27872458671715716,0.1517072178298675,1.523689200315351
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,5.0,0.16411102567004182,0.21599931105267914,0.7597756903493895,-0.2788777573483472,0.15144776494877776,1.5226659958369386
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,10.0,0.16388512122565294,0.21599479084693915,0.7587457113342478,-0.2790308989230832,0.15118836504822109,1.5216434569216142
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,0.0,0.12222897920625225,0.1855303153741315,0.6588086640168275,-0.20081905510310416,0.11097611577908206,1.3685867139365464
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,5.0,0.12058717914962132,0.18548987034117626,0.6501011560783467,-0.20110958855827132,0.10915856660420209,1.3619217748129504
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,10.0,0.11894537909299047,0.18545075534246322,0.6413852500807539,-0.20140007173719254,0.10734370706606833,1.3552882577007102
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,0.0,0.06560315334896553,0.1253889715021287,0.5231971565206739,-0.15673775178991123,0.05957325281495174,1.18831085878576
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,5.0,0.06488732661127941,0.12537598634169222,0.5175419033947966,-0.157061561468407,0.058815269091177846,1.185778077571312
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,10.0,0.06417149987359333,0.12536342510617568,0.5118837477457537,-0.15738527483886056,0.05805776926697215,1.1832505002425988
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,0.0,0.14388146057465326,0.1620493167651765,0.8878868695457073,-0.19475367166170732,0.13997694005345407,1.4778835496213438
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,5.0,0.14366080442172882,0.1620441780126016,0.8865533225794563,-0.19484570656137956,0.13972594397324234,1.4769135693155235
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,10.0,0.14344014826880436,0.16203906724049838,0.8852195381741521,-0.1949377328892039,0.1394749977913623,1.475944204917561
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,0.0,0.6787073406510907,0.8189033644058294,0.8288002835884543,-0.8157130881593323,0.4058018821542604,2.7737845161866836
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,5.0,0.678360291803496,0.8189003476814153,0.828379538150355,-0.8158023173098703,0.40531712914432516,2.7709206302326765
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,10.0,0.6780132429559015,0.8188973490443414,0.8279587713248154,-0.8158915066664059,0.4048325224240572,2.7680595780547352
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,0.0,0.44658536812453775,0.7624823337977524,0.5856992986318736,-0.8313862736943436,0.1658791497321479,1.5835994898633299
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,5.0,0.4454126737573912,0.7624813173528349,0.5841620819035471,-0.8316887300739899,0.16451204375827944,1.5780440063073513
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,10.0,0.4442399793902446,0.7624805769792735,0.5826246501257702,-0.8319907062528205,0.1631462871510474,1.5725069848170778
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,0.0,0.7568611802013191,0.7310619665450383,1.0352900504155709,-0.7188648393037613,0.6298836268345771,4.319826921899198
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,5.0,0.7561994323871079,0.7310544609976176,1.0343954831424962,-0.7190521114181598,0.6288137178457451,4.311338867405892
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,10.0,0.7555376845728965,0.7310470266718653,1.033500796812657,-0.7192392722946548,0.6277444255101181,4.302866812819419
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,0.0,0.689174277613563,0.7990112558106452,0.8625338787178336,-0.7988666949256737,0.44389423413333473,3.0050491971827933
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,5.0,0.6887992284626261,0.7990081897562037,0.8620677951658982,-0.798972365940903,0.4433559038552475,3.0016946069312587
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,10.0,0.6884241793116892,0.7990051453035288,0.8616016847428039,-0.7990779858592967,0.4428177491829144,2.998343605226508
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,0.0,0.13205338524492424,0.16117980666586584,0.8192923665597751,-0.20249210152511699,0.12671682965760356,1.4272168148150308
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,5.0,0.13189385638272821,0.16117568935854396,0.8183235133514662,-0.20256568833195443,0.1265375315722823,1.4265397520645335
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,10.0,0.13173432752053219,0.16117158563939468,0.8173545417321548,-0.2026392695082394,0.12635825944517265,1.4258630007928075
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,0.0,0.06764322226613825,0.1575635442311867,0.42930756982013585,-0.20806819815367983,0.05689723064339569,1.1793850380602806
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,5.0,0.06604331592014843,0.15752863513758583,0.4192464174051027,-0.2086207705391352,0.055210058185215516,1.1737804742141948
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,10.0,0.06444340957415863,0.15749519667895512,0.40917698401636216,-0.2091730458171317,0.05352532476741789,1.1682017032103684
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,0.0,0.06473085902530432,0.1256813577596677,0.5150394631245545,-0.15346658208428088,0.05860895192679605,1.1850892963375168
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,5.0,0.06397960806263069,0.12566659772240962,0.5091218288885166,-0.15380271929792988,0.05781434489526971,1.1824390181389346
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,10.0,0.06322835709995707,0.1256522952770572,0.5032009718608134,-0.15413875282279477,0.05702027122182285,1.1797944569570205
equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,0.0,0.10508842908828549,0.14533653694542836,0.7230695824804507,-0.1849266973985575,0.0993562812685258,1.3263484860113985
