annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cagr,terminal_wealth,fund_id,fund_name,family,method,start_date,end_date,observations,periods_per_year,estimation_window,rebalance_frequency,average_turnover,cumulative_turnover,transaction_cost_bps,solver_success_rate
0.13189385638272821,0.16117568935854396,0.8183235133514662,-0.20256568833195443,0.1265375315722823,1.4265397520645335,equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.027239281912380234,0.9533748669333082,5.0,1.0
0.06397960806263069,0.12566659772240962,0.5091218288885166,-0.15380271929792988,0.05781434489526971,1.1824390181389346,equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.128274824238829,4.489618848359015,5.0,1.0
0.06604331592014843,0.15752863513758583,0.4192464174051027,-0.2086207705391352,0.055210058185215516,1.1737804742141948,equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.2731812876486012,9.561345067701042,5.0,1.0
0.10490326105406791,0.14533220621110848,0.7218170272712039,-0.18499934952384012,0.09915305019305642,1.325617555108262,equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.03161712693102579,1.1065994425859025,5.0,1.0
0.678360291803496,0.8189003476814153,0.828379538150355,-0.8158023173098703,0.40531712914432516,2.7709206302326765,crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,2021-01-01,2023-12-31,1095,365,365,"Monthly, first observed date",0.05949408815909134,2.082293085568197,5.0,1.0
0.7561994323871079,0.7310544609976176,1.0343954831424962,-0.7190521114181598,0.6288137178457451,4.311338867405892,crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,2021-01-01,2023-12-31,1095,365,365,"Monthly, first observed date",0.11344248243623849,3.9704868852683473,5.0,1.0
0.4454126737573912,0.7624813173528349,0.5841620819035471,-0.8316887300739899,0.16451204375827944,1.5780440063073513,crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,2021-01-01,2023-12-31,1095,365,365,"Monthly, first observed date",0.2010333200822589,7.036166202879062,5.0,1.0
0.6887992284626261,0.7990081897562037,0.8620677951658982,-0.798972365940903,0.4433559038552475,3.0016946069312587,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,2021-01-01,2023-12-31,1095,365,365,"Monthly, first observed date",0.06429414016059627,2.2502949056208696,5.0,1.0
0.16411102567004182,0.21599931105267914,0.7597756903493895,-0.2788777573483472,0.15144776494877776,1.5226659958369386,combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.03857279968817221,1.3500479890860275,5.0,1.0
0.06488732661127941,0.12537598634169222,0.5175419033947966,-0.157061561468407,0.058815269091177846,1.185778077571312,combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.12222619806749144,4.2779169323622,5.0,1.0
0.12058717914962132,0.18548987034117626,0.6501011560783467,-0.20110958855827132,0.10915856660420209,1.3619217748129504,combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.2803345674927569,9.811709862246492,5.0,0.9722222222222222
0.14366080442172882,0.1620441780126016,0.8865533225794563,-0.19484570656137956,0.13972594397324234,1.4769135693155235,combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,2021-01-04,2023-12-29,753,252,252,"Monthly, first observed date",0.03767666284628676,1.3186831996200368,5.0,1.0
