annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cagr,terminal_wealth,strategy,average_turnover,cumulative_turnover,transaction_cost_bps,tilt_strength,signal_lookback,gross_annualized_return,annualized_trading_cost_drag,cumulative_transaction_cost,scenario,is_primary_case
0.10490326105406791,0.14533220621110846,0.721817027271204,-0.18499934952384012,0.09915305019305642,1.325617555108262,Base equity risk parity,0.03161712693102579,1.1065994425859025,5.0,0.0,0,0.1050884290882855,0.00018516803421758654,0.0005532997212929513,Base equity risk parity,False
0.10281311296053021,0.14508217986070873,0.7086543161898972,-0.18297411403805963,0.09689350200049729,1.3175090015706508,"21-day signal, 0.15 tilt",0.06415177993500194,2.245312297725068,5.0,0.15,21,0.10318882258803799,0.0003757096275077837,0.001122656148862534,"21-day signal, 0.15 tilt",False
0.10085407965859249,0.14502523230924633,0.6954243620416002,-0.18043549564336103,0.09475164625613686,1.3098532924488036,Coverage-aware sentiment tilt,0.11513720695465811,4.029802243413034,5.0,0.3,21,0.1015283891973309,0.0006743095387384129,0.0020149011217065168,"21-day signal, 0.30 tilt (primary)",True
0.09486531532065129,0.145125837442733,0.6536762646285185,-0.1837517865795706,0.08818673564681889,1.2865724076294542,"42-day signal, 0.30 tilt",0.07620591073214365,2.667206875625028,5.0,0.3,42,0.09531162085362438,0.0004463055329730903,0.0013336034378125137,"42-day signal, 0.30 tilt",False
