fund_id,fund_name,family,method,year,observations,calendar_return,annualized_volatility,max_drawdown
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,2021,252,0.4285119117226204,0.232082166546237,-0.13839934308212476
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,2022,251,-0.14676271160073506,0.2500074406997965,-0.261431712174913
combined_equal_weight,Combined Equal Weight,Combined,Equal Weight,2023,250,0.2492545969642308,0.15263835437702664,-0.10724039933842144
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,2021,252,0.26122760999837435,0.19054664697370233,-0.09845938784384334
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,2022,251,0.034732681308596414,0.21447524465334342,-0.20110958855827077
combined_max_sharpe,Combined Maximum Sharpe,Combined,Maximum Sharpe,2023,250,0.04359148740399088,0.14499941882961787,-0.11933959233112357
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,2021,252,0.12739067347873445,0.10553670003588288,-0.07118503728278469
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,2022,251,0.02577733453095843,0.1590409877625924,-0.15706156146840755
combined_min_variance,Combined Minimum Variance,Combined,Minimum Variance,2023,250,0.025358841202741456,0.10405626520328701,-0.08950483679340415
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,2021,252,0.3731583137162755,0.15344117011714045,-0.07130868504118837
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,2022,251,-0.06845392907438863,0.19751119648725812,-0.19484570656137912
combined_risk_parity,Combined Risk Parity,Combined,Risk Parity,2023,250,0.15459622061605538,0.12692697465540026,-0.09313086466709963
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,2021,365,2.571557166883321,1.0936471321967756,-0.6418404975379782
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,2022,365,-0.6100809083520211,0.745717687003295,-0.6351180246821776
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,2023,365,0.9897200675467852,0.5043576871222348,-0.2790127338351308
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,2021,365,3.0031144521753186,0.9593811346371071,-0.5218548388683639
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,2022,365,-0.7388962604122531,0.7690496699951486,-0.7648390071044779
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,2023,365,0.5097603342222228,0.4732386955494397,-0.28976570704665083
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,2021,365,3.2808867649603446,0.9879316258721804,-0.5600911508375165
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,2022,365,-0.5926344893982529,0.6538493613822937,-0.6093144945055389
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,2023,365,1.4722601132485624,0.4393061851953332,-0.1829110168000393
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,2021,365,2.612937365097357,1.0664741832009013,-0.6272581821393726
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,2022,365,-0.6029322299003673,0.7302119085816835,-0.6293091485918643
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,2023,365,1.0923842169649007,0.4892467107040393,-0.25827005717898743
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2021,252,0.2714674758863045,0.12588630331744693,-0.058705715487845644
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2022,251,-0.04364198448029444,0.2107502768418705,-0.20256568833195454
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,2023,250,0.1731623603614194,0.13315450042760305,-0.10572485680698751
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,2021,252,0.10032453096465388,0.12573659310846924,-0.09049600525273771
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,2022,251,0.025669605936080586,0.20099208818976746,-0.20862077053913497
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,2023,250,0.04006049163934877,0.13578984381583564,-0.11644866813131882
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,2021,252,0.13572480541788234,0.10562683269618182,-0.07326224420738914
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,2022,251,0.02977141153878815,0.15876400764240947,-0.15380271929792988
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,2023,250,0.011031786809853728,0.10540199202152184,-0.09805256110373073
equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,2021,252,0.2370596939723657,0.11182716502182562,-0.061050050392415955
equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,2022,251,-0.03767301990410621,0.18998456245998244,-0.18499934952384012
equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,2023,250,0.11353770718901868,0.12176960006760285,-0.0941971941650579
