model,headlines,mean_compound,standard_deviation,positive_share,neutral_share,negative_share,nonzero_share,changed_from_plain_share
Plain VADER 3.3.2,146830,0.10613349383640945,0.28898572914960774,0.3752911530341211,0.4948035142682013,0.1299053326976776,0.5125587414016209,0.0
Finance-extended VADER 3.3.2,146830,0.11048459306681196,0.29552343379270574,0.38252400735544506,0.48679425185588776,0.13068174078866718,0.5296465300006811,0.03243887488932779
